case_id,category,question_type,split,question,reference_answer,reference_claims,forbidden_claims,relevant_chunk_uids,review_status,reviewer,review_notes
attraction_notice_015,attraction_notice,multi_context,test,故宫博物院和秦始皇帝陵博物院在预约检票方面有哪些共同点和不同点？,共同点：均实行实名制预约，通过官方渠道（故宫小程序、秦陵官网/微信公众号）预约；参观当日需携带预约使用的有效身份证件原件核验。不同点：故宫不售当日票，门票提前7日20:00开放预约；秦陵每日客流达到最大承载量后可能停止售票。故宫实行上午/下午时段检票；秦陵区分旺季淡季开放时间，且由兵马俑博物馆和丽山园两部分组成。,"[""两馆均实行实名制预约"", ""两馆均需通过官方渠道预约"", ""两馆参观当日均需携带有效身份证件原件"", ""故宫不售当日票，提前7日20:00开放预约"", ""秦陵达到最大承载量后可能停止售票"", ""故宫分上午/下午时段检票"", ""秦陵有旺季淡季开放时间区分"", ""秦陵由兵马俑博物馆和丽山园组成""]","[""故宫可以现场购票"", ""秦始皇帝陵博物院不需要预约""]","[""4b535cdb4ffd65d5f5c80f17652afe41fbeb7f40f88142f8708f6912e36d96c6"", ""2873c25c0e3750ea7684c2e75c05b6724bb442613c6190a964e2e97999319594""]",approved,user_reviewed,
attraction_notice_016,attraction_notice,multi_context,test,比较秦始皇帝陵博物院和成都博物馆在参观要求上的异同。,两者都实行实名制预约，但秦始皇帝陵博物院要求通过官网或微信公众号预约，携带身份证原件，学生需学生证；成都博物馆强调特殊人群陪同、禁止饮食、禁止使用代步工具等。,"[""秦始皇帝陵博物院实行实名制预约参观"", ""秦始皇帝陵博物院要求通过官方网站或官方微信公众号预约"", ""秦始皇帝陵博物院参观当日需携带预约使用的有效身份证件原件"", ""全日制大学本科及以下学历学生购买学生优惠票后需携带学生证"", ""成都博物馆要求幼童、高龄老人等应由监护人或同行人员陪伴入馆"", ""成都博物馆展厅内不得饮食"", ""成都博物馆不得使用轮滑、滑板等代步工具""]","[""秦始皇帝陵博物院和成都博物馆都禁止使用闪光灯拍照"", ""两个博物馆都对学生有相同的优惠政策""]","[""2873c25c0e3750ea7684c2e75c05b6724bb442613c6190a964e2e97999319594"", ""5d80b3cfde9b7d8a9a568aa1a58d6f9b4cc40bf65ea5ee9b77ab2006bbb47361""]",approved,user_reviewed,
attraction_notice_017,attraction_notice,unanswerable,test,成都博物馆的开放时间是什么？,知识库中未提供成都博物馆的具体开放时间信息。,"[""知识库未包含成都博物馆的开放时间""]","[""成都博物馆开放时间为每日9:00至17:00"", ""成都博物馆周一闭馆""]",[],approved,user_reviewed,
attraction_notice_018,attraction_notice,unanswerable,test,秦始皇帝陵博物院学生票的具体优惠金额是多少？,知识库中未提供学生票的具体优惠金额。,"[""知识库未包含学生票优惠金额""]","[""秦始皇帝陵博物院学生票半价"", ""秦始皇帝陵博物院学生票免费""]",[],approved,user_reviewed,
attraction_notice_019,attraction_notice,noise_conflict,test,在景区游览时，对于未开发或未开放的区域，正确的做法是什么？,不要进入未开发、未正式开放或缺乏安全保障的区域。,"[""不要进入未开发区域"", ""不要进入未正式开放的区域"", ""不要进入缺乏安全保障的区域""]","[""在获得景区许可后可以进入未开发区域"", ""未开发区域如果有小路就可以进入""]","[""c692c80212cfd9c6c42882caeea64aac57a66c345e0c322d4a2037a3fbb696db""]",approved,user_reviewed,
attraction_notice_020,attraction_notice,noise_conflict,test,中国国家博物馆的开放安排和预约额度以什么为准？,以中国国家博物馆最新公告为准。,"[""具体开放安排以中国国家博物馆最新公告为准"", ""预约额度以中国国家博物馆最新公告为准"", ""临时闭馆信息以中国国家博物馆最新公告为准""]","[""中国国家博物馆的开放安排以官方网站上的固定信息为准"", ""中国国家博物馆的预约额度在第三方平台也可以查询""]","[""32a972da2866970cdf4cbea841c8343aa3f5e83119f2c886c02f58d9d8cd9e25""]",approved,user_reviewed,
child_ticket_001,child_ticket,single_hop,dev,一个6周岁但未满14周岁的儿童随成年人乘火车，需要购买什么类型的票？,儿童优惠票。,"[""随同成年人乘车的儿童，年满6周岁且未满14周岁的，应当购买儿童优惠票。""]","[""儿童优惠票按身高判断。""]","[""8c8d62de380c08818806070d4671dbd24a38d30c7a292ce3aadb98573fe1fe94""]",approved,user_reviewed,
child_ticket_002,child_ticket,single_hop,dev,一名持票成年人可以免费携带几名不单独占用座位的6岁以下儿童乘火车？,一名。,"[""每名持票成年人可以免费携带一名未满6周岁且不单独占用席位的儿童。""]","[""每名持票成年人可以免费携带两名未满6周岁的儿童。""]","[""3273abde59af18b3a5440f2fc461a49ab93b4942da2b7ce81381c1569541fdf5""]",approved,user_reviewed,
child_ticket_003,child_ticket,single_hop,dev,国航规定，旅行之日已满2周岁但不满12周岁的旅客属于什么旅客类别？,儿童旅客。,"[""国航运输条件将旅行之日已满2周岁但不满12周岁的旅客作为儿童旅客。""]","[""国航将已满2周岁不满12周岁的旅客视为婴儿旅客。""]","[""3875cdb2407ac2ee039668175e6e94cc552f5d0a85e5f43a528b810a7794c480""]",approved,user_reviewed,
child_ticket_004,child_ticket,single_hop,dev,南航无成人陪伴儿童服务要求出发地送机人应在机场等候至何时？,航班起飞。,"[""送机人应在机场等候至航班起飞。""]","[""送机人只需将儿童送到机场即可离开。""]","[""fa0f14b3d7b352170ef0663a80af1ddec85560d5b037fac20b86eb2bb18345df""]",approved,user_reviewed,
child_ticket_005,child_ticket,single_hop,test,南航儿童和婴儿客票的证件要求中，办理国际航班时还需要额外核对哪些文件？,知识库信息不足，无法回答。南航儿童乘机证件规则中仅提及国际及地区航班应提前核对护照、签证、出入境和过境要求，但未详细列出具体文件。,"[""国际及地区航班还应提前核对护照、签证、出入境和过境要求。""]","[""南航国际航班儿童客票只需要身份证即可。"", ""南航国际航班儿童客票需要提供无成人陪伴证明。""]","[""1836c7d24bee7af4cf1b64f23d41025d980f177289e63a099dde108a7ca208e3""]",approved,user_reviewed,
child_ticket_006,child_ticket,single_hop,test,南航儿童票的票价通常如何计算？,通常为同行成人普通票价的50%。,"[""南航儿童票通常按同行成人普通票价的50%计收。""]","[""南航儿童票固定为成人票价的50%。""]","[""28f084e36238cec93f3f9cbef4aa62ae6e754a01c13f57196a5a35fb827bed5b""]",approved,user_reviewed,
child_ticket_007,child_ticket,single_hop,test,国航儿童优惠票自愿退票时适用什么规定？,通常适用相同舱位等级的成人退票规定。,"[""儿童优惠票自愿退票通常适用相同舱位等级的成人退票规定。""]","[""儿童优惠票退票费用与成人全价票相同。""]","[""e2335d4d04f7c088e3234e7a7d96a15c58416b0bdcbeb0a4c2b7f555882ac8da""]",approved,user_reviewed,
child_ticket_008,child_ticket,single_hop,test,铁路儿童优惠票的年龄范围是什么？,年满6周岁且未满14周岁的儿童应当购买儿童优惠票。,"[""年满6周岁且未满14周岁的儿童应当购买儿童优惠票。""]","[""铁路儿童优惠票按身高判断。""]","[""8c8d62de380c08818806070d4671dbd24a38d30c7a292ce3aadb98573fe1fe94""]",approved,user_reviewed,
child_ticket_009,child_ticket,paraphrase,test,如果携带两名未满6周岁的儿童，其中一名免费，另一名怎么办？,超过一名时，超出人数应购买儿童优惠票。,"[""每名持票成年人可免费携带一名未满6周岁不单独占座儿童，超出人数需购儿童优惠票。""]","[""携带两名未满6周岁儿童均可免费。""]","[""3273abde59af18b3a5440f2fc461a49ab93b4942da2b7ce81381c1569541fdf5""]",approved,user_reviewed,
child_ticket_010,child_ticket,paraphrase,test,国航对儿童独自乘机有哪些规定？,已满5周岁但不满12周岁的儿童单独乘机需事先申请无成人陪伴儿童服务，每个航班名额有限。,"[""已满5周岁不满12周岁儿童单独乘机需申请无成人陪伴儿童服务，名额有限。""]","[""所有儿童都可以独自乘机。""]","[""3875cdb2407ac2ee039668175e6e94cc552f5d0a85e5f43a528b810a7794c480""]",approved,user_reviewed,
child_ticket_011,child_ticket,paraphrase,test,如果一位7岁的孩子独自乘坐南航飞机，需要满足什么条件？,根据南航规则，旅行之日已满5周岁但未满12周岁的儿童单独乘机，必须申请无成人陪伴儿童服务，且未满5周岁不能承运。需提前申请，国内航班至少提前24小时，国际及地区航班至少提前48小时，并提供送机人和接机人信息。,"[""无成人陪伴儿童服务适用于旅行之日已满5周岁但未满12周岁的儿童"", ""未满5周岁的儿童不能作为无成人陪伴儿童承运"", ""国内航班应至少提前24小时申请，国际及地区航班至少提前48小时""]","[""未满12周岁的儿童必须申请无成人陪伴服务才能乘坐南航航班"", ""无成人陪伴儿童服务适用于所有南航航班，包括中转航班""]","[""fa0f14b3d7b352170ef0663a80af1ddec85560d5b037fac20b86eb2bb18345df""]",approved,user_reviewed,
child_ticket_012,child_ticket,paraphrase,test,购买南航儿童客票时，可以使用哪些证件？,购买儿童客票时应使用航空公司认可的有效身份证件，如身份证、户口簿、出生证明或护照等，并携带与购票信息一致的证件原件。国际及地区航班还需核对护照、签证等要求。,"[""购买儿童客票时应使用航空公司认可的有效身份证件"", ""可使用的证件包括身份证、户口簿、出生证明或护照"", ""办理乘机手续时需携带与购票信息一致的证件原件""]","[""儿童可以仅凭户口本复印件乘机"", ""购买儿童客票不需要提供证件，只需在购票时填写信息""]","[""1836c7d24bee7af4cf1b64f23d41025d980f177289e63a099dde108a7ca208e3""]",approved,user_reviewed,
child_ticket_013,child_ticket,multi_context,test,南航和国航的儿童优惠票票价分别如何计算？,南航境内儿童票按普通票价通常为同行成人普通票价的50%；国航国内儿童优惠票按成人适用普通票价通常按全价的50%计收。两家的实际销售价格和舱位以购票系统为准。,"[""南航儿童票按普通票价通常为同行成人普通票价的50%"", ""国航儿童优惠票按成人适用普通票价通常按全价的50%计收"", ""实际可售票价和舱位以购票系统为准""]","[""南航和国航的儿童票价格一定为成人票价的50%"", ""儿童票总比成人折扣票便宜""]","[""28f084e36238cec93f3f9cbef4aa62ae6e754a01c13f57196a5a35fb827bed5b"", ""e2335d4d04f7c088e3234e7a7d96a15c58416b0bdcbeb0a4c2b7f555882ac8da""]",approved,user_reviewed,
child_ticket_014,child_ticket,multi_context,test,国航儿童优惠票和铁路儿童优惠票在退改签方面有什么主要区别？,国航儿童优惠票自愿退票通常适用相同舱位等级的成人退票规定；铁路儿童优惠票的退改规则未在给定片段中明确，但铁路儿童优惠票的乘车日期、车次和席别应与同行成年人车票一致。,"[""国航儿童优惠票自愿退票通常适用相同舱位等级的成人退票规定"", ""铁路儿童优惠票的乘车日期、车次和席别应与同行成年人车票一致"", ""铁路儿童优惠票到站不得远于同行成年人车票到站""]","[""铁路儿童优惠票可以单独退改，不受同行成人车票影响"", ""国航和铁路的儿童优惠票退改规则完全相同""]","[""e2335d4d04f7c088e3234e7a7d96a15c58416b0bdcbeb0a4c2b7f555882ac8da"", ""8c8d62de380c08818806070d4671dbd24a38d30c7a292ce3aadb98573fe1fe94""]",approved,user_reviewed,
child_ticket_015,child_ticket,multi_context,test,铁路免费乘车儿童需要提前办理哪些手续？,携带免费乘车儿童时，应在购票时提前向铁路运输企业申明，并使用免费乘车儿童本人的有效身份证件办理申明。申明时使用的证件也是儿童乘车时的凭证，出行时应随身携带。,"[""携带免费乘车儿童应在购票时提前申明"", ""申明需使用免费乘车儿童本人的有效身份证件"", ""申明时使用的证件是儿童乘车凭证""]","[""免费乘车儿童不需要任何证件，只需成人陪同即可"", ""免费乘车儿童可以事后补办申明""]","[""8c8d62de380c08818806070d4671dbd24a38d30c7a292ce3aadb98573fe1fe94"", ""3273abde59af18b3a5440f2fc461a49ab93b4942da2b7ce81381c1569541fdf5""]",approved,user_reviewed,
child_ticket_016,child_ticket,multi_context,test,在铁路和国航的规则中，对于儿童单独旅行的年龄限制有何不同？,铁路规则：除通勤上学或铁路运输企业同意监护的情形外，未满14周岁的儿童应随同成年人旅行。国航规则：已满5周岁但不满12周岁的儿童可申请无成人陪伴儿童服务单独乘机，但需事先申请并获同意；未满5周岁的儿童不能作为无成人陪伴儿童承运。,"[""铁路规定未满14周岁儿童通常需随同成年人旅行。"", ""国航允许已满5周岁不满12周岁的儿童在申请无陪服务后单独乘机。"", ""国航不接受未满5周岁儿童作为无成人陪伴儿童承运。""]","[""铁路和国航对儿童单独旅行的年龄限制相同。"", ""所有未满12周岁的儿童都可以单独乘机。""]","[""3273abde59af18b3a5440f2fc461a49ab93b4942da2b7ce81381c1569541fdf5"", ""3875cdb2407ac2ee039668175e6e94cc552f5d0a85e5f43a528b810a7794c480""]",approved,user_reviewed,
child_ticket_017,child_ticket,unanswerable,test,国航航班上，一名成人可以携带多少名婴儿？,知识库信息不足，具体数量需以购票时适用的国航运输条件为准。,[],"[""一名成人可携带两名婴儿。"", ""一名成人可携带一名婴儿。""]",[],approved,user_reviewed,
child_ticket_018,child_ticket,unanswerable,test,南航儿童票的国际航线退改规定与国内有何不同？,知识库信息不足，未提供南航国际航线儿童票退改的具体规定。,[],"[""南航国际与国内儿童票退改规则完全相同。"", ""国际儿童票退改费用更高。""]",[],approved,user_reviewed,
child_ticket_019,child_ticket,noise_conflict,test,一位家长为儿童购买了南航儿童折扣票，认为儿童票免费行李额是成人票的50%，这个说法正确吗？,不正确。根据南航规则，按相应儿童票价付费的儿童，可享受所持客票票价等级对应的免费行李额，并非固定为成人票的50%。,"[""南航儿童票的免费行李额根据所购客票票价等级确定。""]","[""南航所有儿童票免费行李额都是成人票的50%。"", ""儿童票免费行李额与成人票相同。""]","[""1836c7d24bee7af4cf1b64f23d41025d980f177289e63a099dde108a7ca208e3""]",approved,user_reviewed,
child_ticket_020,child_ticket,noise_conflict,test,小张为2岁儿童购买南航国内机票，认为所有儿童票都是成人全价票的50%，这个说法正确吗？,不正确。南航规则中，按普通票价计收时通常为同行成人普通票价的50%，但实际可售票价和舱位以购票系统为准，并非所有儿童票都是固定50%。,"[""南航儿童票按普通票价计收时通常为成人普通票价的50%。"", ""实际可售票价和舱位以购票系统为准。""]","[""所有南航儿童票都是成人全价票的50%。"", ""儿童票一定比成人折扣票便宜。""]","[""28f084e36238cec93f3f9cbef4aa62ae6e754a01c13f57196a5a35fb827bed5b""]",approved,user_reviewed,
elderly_ticket_001,elderly_ticket,single_hop,dev,一位62岁的游客计划游览河源市实行政府指导价的景区，门票费用如何计算？,享受半价优惠,"[""河源市对60至64周岁老年人实行门票半价优惠"", ""河源市规定65周岁及以上老年人免门票""]","[""河源市所有景区对60岁以上老人都免费"", ""河源市市场调节价景区也必须提供半价""]","[""15d2e06b82e9fd9ac8f1019b0cc7e4ecefe14ac57d2fbaf29c3f5a7a992110a5""]",approved,user_reviewed,
elderly_ticket_002,elderly_ticket,single_hop,dev,2026年，一位63岁的老者前往丹霞山，出示身份证件购买门票时，可获得哪种折扣？,半价优惠,"[""丹霞山2026年对60-64周岁老年人实行半价门票"", ""丹霞山2026年对65周岁及以上老年人免票""]","[""丹霞山对所有60岁以上老人免票"", ""丹霞山重阳节活动永久有效""]","[""87d1a19f4d819ef2f17ba5ffe4c3aaf27e0686f2218e203a9edc3e973f52b6d8""]",approved,user_reviewed,
elderly_ticket_003,elderly_ticket,single_hop,dev,一位66岁的长辈前往广州的政府指导价景区，凭有效证件能否免票？,可以免票,"[""广州市政府指导价景区对65周岁及以上老年人免门票"", ""广州市政府指导价景区对60-64周岁老年人半价""]","[""广州市所有景区都对65岁以上老人免票"", ""广州市景区内的交通项目也免费""]","[""e4183f497338fbda5d348d33e0d2e52d42ed2d5e80c94f3ec120c2e989b3dc32""]",approved,user_reviewed,
elderly_ticket_004,elderly_ticket,single_hop,dev,一位68岁的游客计划参观武汉市属于政府定价的景区，是否必须购票？,不需要，通常免票,"[""武汉市政府定价景区通常对65周岁以上老年人免票"", ""武汉市社会投资景区优惠标准由经营者自主制定""]","[""武汉所有景区对65岁以上老人都免票"", ""武汉景区免票包含内部交通""]","[""e976c55f030d6cdb3e01c41556357483365df7f2b98547244912bb4376a9402e""]",approved,user_reviewed,
elderly_ticket_005,elderly_ticket,single_hop,test,一位70岁的老人在福州的国有景区内乘坐观光车，是否可以按政策获得折扣？,可以半价,"[""福州市65周岁以上老年人可免景区门票"", ""福州市符合条件的老年人乘坐政府投资国有景区观光车、缆车可享半价""]","[""福州市所有景区都对65岁以上老人免票"", ""福州市所有景区的观光车都半价""]","[""61314fdf3156669e53ff0a60d18e16f73990393a6d4f552845b65ad1a363430a""]",approved,user_reviewed,
elderly_ticket_006,elderly_ticket,single_hop,test,老年人去不同景区游玩时，门票优惠标准是否全国统一？,不存在全国统一的老门票价格、年龄或折扣标准，具体由景区性质、地方政策和价格管理方式决定。,"[""景区门票定价和老年人优惠由景区性质、地方政策和价格管理方式共同决定"", ""不存在所有景区通用的全国统一'老人票'年龄、折扣或免票标准"", ""不同地区、景区以及索道、观光车等二次消费项目可能采用不同规则""]","[""全国所有景区对60岁以上老人实行半价或免票"", ""只要年满65岁就可以凭身份证在全国任何景区免费入园""]","[""4bee622e43174a7c44435920f4cb1207bea387f627388f16cd1854d2548ea3c4""]",approved,user_reviewed,
elderly_ticket_007,elderly_ticket,single_hop,test,在深圳市，年满60周岁的港澳台居民可以免费进入哪些景区？,年满60周岁的港澳台居民可凭港澳台居民居住证免费进入深圳市政府投资建设的旅游景区，深圳市公园也免费开放。,"[""年满60周岁的老年人包括符合条件的港澳台居民可享受深圳市敬老优惠政策"", ""符合条件的老年人可凭本人身份证或港澳台居民居住证免费进入深圳市政府投资建设的旅游景区"", ""深圳市公园对老年人免费开放""]","[""深圳所有景区对60岁以上老人免费"", ""港澳台居民在深圳任何景区都享受与本地老人相同的免费政策""]","[""385357b5b6d20e55dd8ead30bf908210a63ff1c6e2d3117186ecc3d8f2d70396""]",approved,user_reviewed,
elderly_ticket_008,elderly_ticket,single_hop,test,不熟悉智能手机的老年人如何预约公共文化场馆或旅游景区？,场馆应保留人工窗口和电话专线等传统预约方式，允许家人代为预约，并使用预约码截图和身份证件核验；现场还应为未预约老年人保留名额和现金购票方式。,"[""需要提前预约的公共文化场馆和旅游景区应保留人工窗口、电话专线等传统预约方式"", ""预约系统应允许家人、朋友帮助老年人预约"", ""景区和文化场馆应为没有提前预约的老年人保留一定数量的免预约进入或现场购票名额，并保留现金购票方式""]","[""任何时间到景区都可以凭身份证直接免预约进入"", ""老年人只能通过家人代为预约，不能自行电话预约""]","[""d1d9b44a1df19d0f9f1a4369d4a3d884859c6182d118fa219fe9d852f82066ab""]",approved,user_reviewed,
elderly_ticket_009,elderly_ticket,paraphrase,test,老年人在乘坐火车或飞机时，是否自动享有统一的票价折扣？,我国铁路和民航没有面向所有老年人的全国统一“老人票”价格规则，交通票价应以承运企业公布的票价和适用条件为准。,"[""我国铁路和民航没有面向所有老年人的全国统一'老人票'价格规则"", ""交通票价应以承运企业公布的票价和适用条件为准"", ""不应仅凭年龄推断一定享有折扣""]","[""所有火车和飞机都对60岁以上老人有半价优惠"", ""老年人乘坐公共交通时凭身份证可以自动享受折扣""]","[""743aa1c979ef06337887bd2708ada7d3764a8d05d63f0f79b63f3a15b96a142e""]",approved,user_reviewed,
elderly_ticket_010,elderly_ticket,paraphrase,test,一位62岁的老人想去故宫博物院参观，他需要如何购票才能享受优惠？,60周岁以上老年人凭本人有效身份证件原件可购买半价大门票（旺季30元、淡季20元），钟表馆、珍宝馆等专馆也可购买5元优惠票；需通过官方小程序实名预约，凭身份证原件核验入园。,"[""60周岁以上老年人凭本人有效身份证件原件享受故宫博物院大门票半价优惠"", ""官方页面列示旺季大门票优惠价30元、淡季20元"", ""钟表馆、珍宝馆等专馆需另行购票，60周岁以上老年人可购买专馆优惠票，当前列示为5元每人"", ""享受优惠的观众也必须实名预约，参观时应携带预约使用的本人有效身份证件原件""]","[""故宫对60岁以上老人免费开放"", ""陪同老人的家属也能自动享受门票优惠""]","[""0d3741bc50c4adbbe827278e0cb2ed5def37be441d93d857fe48caf5faa1db53""]",approved,user_reviewed,
